"replicate","mle_mu","mle_xi","mle_tau","postmed_mu","postmed_xi","postmed_tau","true_mu","true_xi","true_tau","diff_postmed_mle_mu","diff_postmed_mle_xi","diff_postmed_mle_tau","diff_postmed_true_mu","diff_postmed_true_xi","diff_postmed_true_tau","edist_postmed_mle","edist_postmed_true"
60,9.73283494114971,0.293522179203614,1.68177027584584,9.7609421090866,0.28507977510761,1.77151474348435,10,0.2,2,0.0281071679368878,-0.00844240409600439,0.0897444676385053,-0.239057890913404,0.0850797751076098,-0.228485256515655,0.094421165784327,0.341456813938968
61,9.3430156475083,0.333098829067491,1.75548023489822,9.40033653210824,0.338516723241418,1.85571052059918,10,0.2,2,0.057320884599946,0.00541789417392752,0.100230285700958,-0.599663467891759,0.138516723241418,-0.144289479400822,0.115590430228007,0.63214129054134
62,10.4555370572001,0.337718297921097,2.79780220220176,10.5239894722555,0.327656736944171,2.94712814261366,10,0.2,2,0.0684524150553703,-0.0100615609769261,0.149325940411903,0.523989472255497,0.127656736944171,0.947128142613663,0.164575832418081,1.08991418380193
63,9.72663074471727,-0.0808287611714218,1.66218528950461,9.70978009582024,-0.0620905314311881,1.70401091371722,10,0.2,2,-0.0168506488970284,0.0187382297402336,0.0418256242126165,-0.290219904179759,-0.262090531431188,-0.295989086282777,0.0488308146852345,0.490437130167063
64,9.86980441835215,0.22490508119175,1.74615894677945,9.85899061264939,0.234453246100679,1.8107860739414,10,0.2,2,-0.0108138057027602,0.00954816490892918,0.0646271271619463,-0.141009387350611,0.0344532461006788,-0.189213926058601,0.0662176065114976,0.238479733525468
65,9.96418017022411,0.124538312329167,2.00288581738623,9.94595785468589,0.142764175840797,2.05902055234355,10,0.2,2,-0.018222315538214,0.0182258635116302,0.0561347349573227,-0.0540421453141064,-0.0572358241592025,0.0590205523435516,0.0617684656847462,0.0983865775208797
66,10.1898802044808,0.20999417364005,1.98283222411869,10.184478541534,0.221556846678671,2.0577491108143,10,0.2,2,-0.00540166294680766,0.0115626730386208,0.0749168866956118,0.184478541533986,0.0215568466786713,0.0577491108143038,0.0759961399187623,0.194504472249553
67,9.93190091089953,0.324266497816545,1.78493023048213,9.96610893075169,0.314674926301268,1.88283823336165,10,0.2,2,0.0342080198521586,-0.00959157151527706,0.0979080028795178,-0.033891069248309,0.114674926301268,-0.117161766638351,0.104154519317186,0.167409148073856
68,9.83273104435691,0.119164994728105,1.75813785353609,9.81302348878466,0.122000097201996,1.831049487931,10,0.2,2,-0.0197075555722446,0.00283510247389034,0.0729116343949046,-0.186976511215338,-0.0779999027980043,-0.168950512069001,0.0755812938683031,0.263796277667323
69,9.80379984054491,0.212185100467533,1.88302406790374,9.77046819730829,0.2245223226158,1.91407983030898,10,0.2,2,-0.0333316432366217,0.0123372221482672,0.0310557624052379,-0.229531802691708,0.0245223226158005,-0.0859201696910223,0.0471981553639516,0.246309699998016
70,9.3564580500482,0.362865187232523,1.45732412280649,9.37105961766426,0.369290990526749,1.51194666148642,10,0.2,2,0.0146015676160616,0.00642580329422549,0.0546225386799299,-0.62894038233574,0.169290990526749,-0.488053338513582,0.0569044678093288,0.813892809429109
71,9.89452662492405,0.261168910876464,1.64162337695405,9.94888137138212,0.245749546703314,1.72311365028163,10,0.2,2,0.0543547464580705,-0.0154193641731496,0.0814902733275849,-0.0511186286178837,0.0457495467033141,-0.276886349718368,0.0991607780376386,0.285258103961472
72,10.0059540981212,0.216606397692387,2.39562509959217,9.96207141336249,0.207993322232769,2.48072045542773,10,0.2,2,-0.0438826847587244,-0.00861307545961831,0.0850953558355543,-0.0379285866375092,0.00799332223276858,0.480720455427727,0.0961306125814574,0.482280651852505
73,9.5677251937233,0.390047985547997,1.45951460335659,9.53362288461636,0.393571304464277,1.51481152657192,10,0.2,2,-0.0341023091069328,0.00352331891628016,0.055296923215322,-0.466377115383636,0.193571304464277,-0.485188473428084,0.0650625159342292,0.700275173351903
74,10.0801256165461,0.284438745943726,2.18916053464076,10.0926650177891,0.282538737599607,2.32685158780973,10,0.2,2,0.0125394012430249,-0.00190000834411946,0.13769105316897,0.0926650177891162,0.0825387375996066,0.326851587809728,0.138273904761605,0.349616088274173
75,10.0173591661627,0.158327499740552,2.0902987237082,10.0175638652653,0.155520806464089,2.16998732698783,10,0.2,2,0.0002046991026603,-0.00280669327646302,0.0796886032796253,0.0175638652653447,-0.0444791935359107,0.169987326987826,0.079738277643352,0.176585897956576
